Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1654869536.2646441,33393,1654869536,91121324,imu_link,-6.999007018748671e-05,6.766896694898605e-05,-2.2853899281471968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2647438,33394,1654869536,101218710,imu_link,-6.999007018748671e-05,6.766896694898605e-05,-2.2853899281471968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2648845,33395,1654869536,111123719,imu_link,-6.972562550799921e-05,6.821772694820538e-05,-2.2015445210854523e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.264987,33396,1654869536,121116593,imu_link,-6.975488940952346e-05,6.813408981543034e-05,-2.2181096937856637e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.265073,33397,1654869536,131632026,imu_link,-7.036000897642225e-05,6.762412522220984e-05,-2.182766365876887e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2652073,33398,1654869536,141112043,imu_link,-7.036000897642225e-05,6.762412522220984e-05,-2.182766365876887e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2652445,33399,1654869536,151112491,imu_link,-7.083885429892689e-05,6.717062933603302e-05,-2.1678615667042322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.265271,33400,1654869536,161143140,imu_link,-7.041354547254741e-05,6.781669071642682e-05,-2.10434718610486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2653499,33401,1654869536,171110941,imu_link,-6.985013169469312e-05,6.787663005525246e-05,-2.266541196149774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2653935,33402,1654869536,181365410,imu_link,-6.967249646550044e-05,6.801714334869757e-05,-2.2790620278101414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2654543,33403,1654869536,191113169,imu_link,-6.988467066548765e-05,6.789221515646204e-05,-2.2511785573442467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2654886,33404,1654869536,201089099,imu_link,-6.988467066548765e-05,6.789221515646204e-05,-2.2511785573442467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.26557,33405,1654869536,211114823,imu_link,-7.024713704595342e-05,6.765752186765894e-05,-2.2086176613811404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.265644,33406,1654869536,221122659,imu_link,-7.012409332673997e-05,6.785721052438021e-05,-2.186344499932602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2657952,33407,1654869536,231122828,imu_link,-6.965239299461246e-05,6.797473906772211e-05,-2.2977799744694494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.265968,33408,1654869536,241100203,imu_link,-6.962669431231916e-05,6.85861668898724e-05,-2.1167466911720112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.266298,33409,1654869536,251122316,imu_link,-6.962669431231916e-05,6.85861668898724e-05,-2.1167466911720112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2772658,33410,1654869536,261113745,imu_link,-7.01967001077719e-05,6.763434066670015e-05,-2.23163533519255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.277336,33411,1654869536,271116618,imu_link,-6.938855221960694e-05,6.828949699411169e-05,-2.2842377802589908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.283641,33412,1654869536,281109066,imu_link,-6.923644104972482e-05,6.866324110887945e-05,-2.217376277258154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.2934613,33413,1654869536,291471232,imu_link,-6.955326534807682e-05,6.841550202807412e-05,-2.1946852939436212e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.303314,33414,1654869536,301111313,imu_link,-6.955326534807682e-05,6.841550202807412e-05,-2.1946852939436212e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.3145685,33415,1654869536,311109390,imu_link,-7.008381362538785e-05,6.750146712874994e-05,-2.306100032001268e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.3227668,33416,1654869536,321111800,imu_link,-7.01534518157132e-05,6.749204476363957e-05,-2.287612369400449e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.3332262,33417,1654869536,331106785,imu_link,-6.999827746767551e-05,6.766699516447261e-05,-2.2834623450762592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869536.3430986,33418,1654869536,341107306,imu_link,-7.041858771117404e-05,6.778500392101705e-05,-2.1128569642314687e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
